Time,Price
1777901400,120.04000091552734
1777901460,120.9000015258789
1777901520,121.13999938964844
1777901580,120.5250015258789
1777901640,120.51499938964844
1777901700,121.17500305175781
1777901760,121.01499938964844
1777901820,121.20999908447266
1777901880,120.75
1777901940,120.85604095458984
1777902000,120.2699966430664
1777902060,120.30000305175781
1777902120,120.48999786376953
1777902180,120.26000213623047
1777902240,120.36000061035156
1777902300,120.79000091552734
1777902360,121.05999755859375
1777902420,121.44249725341797
1777902480,121.27999877929688
1777902540,121.5999984741211
1777902600,121.72000122070312
1777902660,121.55000305175781
1777902720,121.87999725341797
1777902780,121.88999938964844
1777902840,122.5199966430664
1777902900,122.72000122070312
1777902960,122.54000091552734
1777903020,122.56999969482422
1777903080,121.9000015258789
1777903140,122.29000091552734
1777903200,122.2699966430664
1777903260,122.47000122070312
1777903320,122.47000122070312
1777903380,122.3499984741211
1777903440,122.58000183105469
1777903500,122.48999786376953
1777903560,122.54000091552734
1777903620,122.63999938964844
1777903680,123.0199966430664
1777903740,122.73999786376953
1777903800,122.8499984741211
1777903860,122.70999908447266
1777903920,123.12999725341797
1777903980,122.83999633789062
1777904040,123.11000061035156
1777904100,123.19000244140625
1777904160,122.80000305175781
1777904220,123.0
1777904280,123.30999755859375
1777904340,123.45999908447266
1777904400,123.87999725341797
1777904460,124.33499908447266
1777904520,124.16000366210938
1777904580,124.16999816894531
1777904640,124.36000061035156
1777904700,124.30500030517578
1777904760,124.21070098876953
1777904820,124.375
1777904880,124.33499908447266
1777904940,124.3499984741211
1777905000,124.42500305175781
1777905060,124.1500015258789
1777905120,124.23999786376953
1777905180,124.30999755859375
1777905240,124.25250244140625
1777905300,124.40249633789062
1777905360,124.40989685058594
1777905420,124.48999786376953
1777905480,125.08999633789062
1777905540,125.0999984741211
1777905600,124.82499694824219
1777905660,124.84750366210938
1777905720,124.62000274658203
1777905780,124.54000091552734
1777905840,124.38999938964844
1777905900,124.48999786376953
1777905960,124.4749984741211
1777906020,124.05500030517578
1777906080,124.06500244140625
1777906140,123.97000122070312
1777906200,123.93499755859375
1777906260,123.9800033569336
1777906320,123.87000274658203
1777906380,124.08999633789062
1777906440,124.0999984741211
1777906500,124.08999633789062
1777906560,123.83999633789062
1777906620,123.58000183105469
1777906680,123.37999725341797
1777906740,123.12000274658203
1777906800,123.22000122070312
1777906860,123.22000122070312
1777906920,123.44000244140625
1777906980,123.30999755859375
1777907040,122.94000244140625
1777907100,122.79499816894531
1777907160,122.61499786376953
1777907220,122.56999969482422
1777907280,122.55999755859375
1777907340,122.53500366210938
1777907400,122.59500122070312
1777907460,122.65499877929688
1777907520,123.05999755859375
1777907580,122.93000030517578
1777907640,123.05000305175781
1777907700,123.20999908447266
1777907760,123.08999633789062
1777907820,123.16000366210938
1777907880,123.19999694824219
1777907940,122.8949966430664
1777908000,122.73999786376953
1777908060,122.44000244140625
1777908120,122.51499938964844
1777908180,122.19000244140625
1777908240,122.12999725341797
1777908300,122.03500366210938
1777908360,122.05000305175781
1777908420,121.93000030517578
1777908480,121.97000122070312
1777908540,121.74500274658203
1777908600,121.66999816894531
1777908660,121.56999969482422
1777908720,121.06500244140625
1777908780,121.19999694824219
1777908840,121.3760986328125
1777908900,121.18499755859375
1777908960,121.58999633789062
1777909020,121.46499633789062
1777909080,121.22000122070312
1777909140,121.08000183105469
1777909200,120.69999694824219
1777909260,120.93000030517578
1777909320,121.21499633789062
1777909380,121.18000030517578
1777909440,121.33899688720703
1777909500,121.1050033569336
1777909560,120.9800033569336
1777909620,121.16000366210938
1777909680,121.30000305175781
1777909740,121.23999786376953
1777909800,121.19000244140625
1777909860,121.07499694824219
1777909920,121.23500061035156
1777909980,121.23500061035156
1777910040,121.38999938964844
1777910100,121.47000122070312
1777910160,121.31999969482422
1777910220,121.27999877929688
1777910280,121.4000015258789
1777910340,121.48999786376953
1777910400,121.55000305175781
1777910460,121.18000030517578
1777910520,121.37000274658203
1777910580,121.30000305175781
1777910640,120.9749984741211
1777910700,120.87000274658203
1777910760,121.04000091552734
1777910820,120.67500305175781
1777910880,120.50499725341797
1777910940,120.41999816894531
1777911000,120.41000366210938
1777911060,120.56999969482422
1777911120,120.55999755859375
1777911180,120.33999633789062
1777911240,120.29000091552734
1777911300,120.2300033569336
1777911360,120.33000183105469
1777911420,120.54000091552734
1777911480,120.72000122070312
1777911540,121.0199966430664
