Time,Price
1777901400,1141.719970703125
1777901460,1143.530029296875
1777901520,1143.530029296875
1777901580,1143.530029296875
1777901640,1145.1199951171875
1777901760,1145.6199951171875
1777901820,1148.280029296875
1777901880,1145.7950439453125
1777901940,1148.72998046875
1777902000,1148.72998046875
1777902060,1148.31005859375
1777902120,1148.6099853515625
1777902180,1145.780029296875
1777902300,1146.4649658203125
1777902360,1148.6199951171875
1777902420,1150.4599609375
1777902480,1151.2950439453125
1777902540,1151.2950439453125
1777902600,1149.7099609375
1777902720,1151.6500244140625
1777902780,1153.3900146484375
1777902900,1152.6099853515625
1777902960,1151.489990234375
1777903020,1151.7850341796875
1777903080,1151.780029296875
1777903140,1151.77001953125
1777903200,1153.6800537109375
1777903260,1154.0
1777903320,1155.72998046875
1777903380,1154.6700439453125
1777903440,1154.6700439453125
1777903500,1154.6700439453125
1777903560,1154.6700439453125
1777903620,1155.72998046875
1777903680,1154.864990234375
1777903740,1154.905029296875
1777903800,1154.800048828125
1777903860,1153.800048828125
1777903920,1153.800048828125
1777903980,1155.0999755859375
1777904040,1156.260009765625
1777904100,1158.280029296875
1777904160,1157.97998046875
1777904220,1159.1199951171875
1777904280,1160.8399658203125
1777904340,1162.719970703125
1777904400,1163.7198486328125
1777904460,1162.6700439453125
1777904520,1160.8299560546875
1777904580,1159.7049560546875
1777904640,1160.3499755859375
1777904700,1158.4200439453125
1777904760,1160.3800048828125
1777904820,1159.2900390625
1777904880,1159.7750244140625
1777904940,1160.4000244140625
1777905000,1161.43994140625
1777905060,1160.5699462890625
1777905120,1160.77001953125
1777905180,1162.06005859375
1777905240,1162.1650390625
1777905300,1162.105224609375
1777905360,1159.800048828125
1777905420,1159.7750244140625
1777905480,1159.6199951171875
1777905540,1159.739990234375
1777905600,1159.18994140625
1777905660,1160.4100341796875
1777905720,1160.800048828125
1777905780,1161.5799560546875
1777905840,1162.25
1777905900,1160.3499755859375
1777905960,1159.1600341796875
1777906020,1159.1600341796875
1777906080,1159.155029296875
1777906140,1159.1600341796875
1777906200,1157.739990234375
1777906260,1156.2900390625
1777906320,1157.699951171875
1777906380,1158.425048828125
1777906440,1158.155029296875
1777906500,1158.0
1777906560,1157.3599853515625
1777906620,1158.489990234375
1777906740,1155.3399658203125
1777906800,1155.3399658203125
1777906860,1157.0299072265625
1777906920,1155.989990234375
1777906980,1154.885009765625
1777907040,1155.4564208984375
1777907160,1157.02001953125
1777907220,1155.9449462890625
1777907280,1155.9449462890625
1777907340,1155.8299560546875
1777907400,1155.1300048828125
1777907460,1153.7099609375
1777907520,1153.0400390625
1777907580,1153.0450439453125
1777907640,1153.989990234375
1777907700,1153.81494140625
1777907760,1153.675048828125
1777907820,1151.1700439453125
1777907880,1150.8349609375
1777907940,1151.4599609375
1777908000,1151.4549560546875
1777908060,1151.4549560546875
1777908120,1150.780029296875
1777908180,1150.155029296875
1777908240,1149.780029296875
1777908300,1149.0
1777908360,1148.9000244140625
1777908420,1149.010009765625
1777908480,1143.5899658203125
1777908540,1142.81005859375
1777908600,1143.4000244140625
1777908660,1144.2049560546875
1777908720,1143.9625244140625
1777908780,1141.9200439453125
1777908840,1142.18994140625
1777908900,1142.489990234375
1777908960,1141.9300537109375
1777909020,1141.780029296875
1777909080,1144.2099609375
1777909140,1144.862548828125
1777909200,1145.3900146484375
1777909260,1145.56005859375
1777909320,1145.1199951171875
1777909440,1144.56005859375
1777909500,1144.5400390625
1777909560,1144.0050048828125
1777909620,1143.3599853515625
1777909680,1143.81494140625
1777909740,1143.9000244140625
1777909800,1144.5399169921875
1777909860,1143.9000244140625
1777909920,1144.2650146484375
1777909980,1143.052490234375
1777910040,1143.449951171875
1777910160,1143.6800537109375
1777910280,1143.7249755859375
1777910340,1143.2900390625
1777910400,1143.280029296875
1777910460,1143.6600341796875
1777910520,1143.6600341796875
1777910580,1143.6600341796875
1777910640,1143.1800537109375
1777910700,1143.9000244140625
1777910760,1144.22998046875
1777910820,1141.780029296875
1777910880,1140.0799560546875
1777910940,1140.2900390625
1777911000,1140.8800048828125
1777911060,1140.8800048828125
1777911120,1141.239990234375
1777911180,1140.800048828125
1777911300,1141.239990234375
1777911360,1141.239990234375
1777911420,1140.4849853515625
1777911480,1139.6199951171875
1777911540,1140.469970703125
1777911600,1140.219970703125
1777911660,1141.800048828125
1777911720,1142.780029296875
1777911780,1142.030029296875
1777911900,1142.8199462890625
1777911960,1143.25
1777912080,1142.56005859375
1777912140,1142.239990234375
1777912200,1143.760009765625
1777912320,1142.9449462890625
1777912500,1142.9449462890625
1777912560,1143.260009765625
1777912680,1143.7099609375
1777912800,1142.5350341796875
1777912860,1142.5250244140625
1777912920,1141.2900390625
1777912980,1140.9849853515625
1777913040,1139.449951171875
1777913100,1139.0699462890625
1777913160,1138.199951171875
1777913220,1139.4000244140625
1777913280,1140.760009765625
1777913340,1140.85498046875
1777913460,1140.8599853515625
1777913520,1140.5849609375
1777913580,1140.550048828125
1777913700,1139.3800048828125
1777913760,1139.10498046875
1777913820,1139.8199462890625
1777913880,1139.8199462890625
1777913940,1138.8399658203125
1777914000,1138.5999755859375
1777914060,1139.322509765625
1777914120,1139.324951171875
1777914180,1139.324951171875
