Time,Price
1777901520,6183.455078125
1777901580,6115.52001953125
1777901820,6105.97998046875
1777902000,6100.009765625
1777902060,6100.0
1777902720,6116.83984375
1777902840,6127.6298828125
1777903080,6100.68017578125
1777903140,6098.81005859375
1777903200,6098.81005859375
1777903320,6076.81982421875
1777903560,6060.0107421875
1777903620,6127.69384765625
1777904040,6093.0
1777904160,6060.01025390625
1777904220,6093.0
1777904280,6060.009765625
1777904400,6070.0
1777904460,6060.02001953125
1777904520,6060.009765625
1777904700,6044.15478515625
1777905240,6074.2451171875
1777905300,6065.94482421875
1777905360,6072.7451171875
1777905540,6060.27978515625
1777906020,6062.06005859375
1777906440,6038.5498046875
1777906560,6047.865234375
1777906620,6047.865234375
1777906680,6067.1201171875
1777906740,6055.9501953125
1777907100,6067.115234375
1777907280,6056.22998046875
1777907520,6049.77978515625
1777907820,6056.240234375
1777907940,6066.0
1777908600,6045.22021484375
1777909020,6020.0
1777909080,6020.2001953125
1777909140,6020.2001953125
1777909440,6020.2001953125
1777909800,6004.7900390625
1777910100,6000.0
1777910160,5999.0
1777910340,5995.0
1777911000,5951.0
1777911180,5957.2998046875
1777911420,5957.2998046875
1777911540,5976.75
1777911660,5984.91015625
1777911840,5999.0
1777912200,5973.72998046875
1777912320,5973.72021484375
1777912380,5959.58984375
1777912440,5975.43017578125
1777912500,5959.58984375
1777912620,5975.4248046875
1777912680,5959.58984375
1777912740,5970.18505859375
1777912800,5970.08984375
1777912860,5959.58984375
1777912920,5970.18505859375
1777913340,5980.77978515625
1777913400,5985.080078125
1777913520,5979.794921875
1777913640,5979.7900390625
1777913700,5979.7900390625
1777913880,5979.7900390625
1777914180,5982.4951171875
1777914840,5965.0
1777914960,5965.0
1777915020,5973.5
1777915140,5966.95556640625
1777915260,5965.0
1777915320,5982.0
1777915800,5971.50537109375
1777915860,5982.4951171875
1777917240,5965.0
1777917840,5965.0
1777918020,5974.52001953125
1777918620,5965.0
1777918680,5965.009765625
1777918800,5969.9482421875
1777918860,5965.009765625
1777918920,5962.47509765625
1777919220,5972.85986328125
1777919340,5955.0
1777920960,5972.853515625
1777921500,5949.22021484375
1777921620,5957.93505859375
1777921680,5961.64990234375
1777921800,5972.1298828125
1777921920,5958.740234375
1777922040,5957.14990234375
1777922340,5953.85986328125
1777922400,5951.27001953125
1777922520,5961.91015625
1777922580,5951.27001953125
1777922700,5955.27001953125
1777922760,5938.77001953125
1777922880,5941.169921875
1777923000,5938.10009765625
1777923180,5936.240234375
1777923300,5948.08154296875
1777923360,5941.06005859375
1777923720,5958.509765625
1777923960,5947.25
1777924200,5939.830078125
1777924260,5936.0498046875
1777924380,5939.0048828125
1777924440,5944.56005859375
1777924560,5951.16015625
1777924620,5939.990234375
1777924740,5932.77001953125
