Time,Price
1777901400,1221.93994140625
1777901460,1235.52001953125
1777901520,1219.0699462890625
1777901580,1217.2449951171875
1777901640,1215.0400390625
1777901700,1208.43994140625
1777901760,1224.0
1777901820,1223.989990234375
1777901880,1231.35693359375
1777901940,1237.27001953125
1777902000,1238.0899658203125
1777902060,1244.0
1777902120,1239.4200439453125
1777902180,1246.43896484375
1777902240,1252.5899658203125
1777902300,1250.97021484375
1777902360,1245.9949951171875
1777902420,1240.9749755859375
1777902480,1240.4599609375
1777902540,1245.300048828125
1777902600,1243.911865234375
1777902660,1251.9599609375
1777902720,1256.114990234375
1777902780,1256.655029296875
1777902840,1251.1800537109375
1777902900,1252.1209716796875
1777902960,1252.567138671875
1777903020,1250.1300048828125
1777903080,1247.5
1777903140,1259.9998779296875
1777903200,1260.989990234375
1777903260,1259.0
1777903320,1263.7099609375
1777903380,1267.1300048828125
1777903440,1266.8599853515625
1777903500,1273.1300048828125
1777903560,1272.9998779296875
1777903620,1273.175048828125
1777903680,1270.5550537109375
1777903740,1264.6600341796875
1777903800,1264.489990234375
1777903860,1269.9100341796875
1777903920,1268.5899658203125
1777903980,1265.3699951171875
1777904040,1262.0
1777904100,1264.3199462890625
1777904160,1263.4505615234375
1777904220,1258.849853515625
1777904280,1256.63232421875
1777904340,1257.0450439453125
1777904400,1256.2149658203125
1777904460,1251.31494140625
1777904520,1251.4100341796875
1777904580,1249.5
1777904640,1247.1700439453125
1777904700,1245.739990234375
1777904760,1253.9798583984375
1777904820,1246.85009765625
1777904880,1246.219970703125
1777904940,1240.0899658203125
1777905000,1239.239990234375
1777905060,1238.9898681640625
1777905120,1243.3399658203125
1777905180,1233.719970703125
1777905240,1231.489990234375
1777905300,1229.469970703125
1777905360,1234.8900146484375
1777905420,1238.800048828125
1777905480,1239.2550048828125
1777905540,1237.6650390625
1777905600,1242.800048828125
1777905660,1245.849853515625
1777905720,1245.3800048828125
1777905780,1250.949951171875
1777905840,1250.2249755859375
1777905900,1254.159423828125
1777905960,1250.9200439453125
1777906020,1253.699951171875
1777906080,1247.748291015625
1777906140,1248.44873046875
1777906200,1249.25
1777906260,1247.93505859375
1777906320,1244.239990234375
1777906380,1243.6400146484375
1777906440,1246.625
1777906500,1252.0400390625
1777906560,1247.47998046875
1777906620,1250.4156494140625
1777906680,1251.25
1777906740,1248.47998046875
1777906800,1246.5
1777906860,1247.6500244140625
1777906920,1249.06982421875
1777906980,1250.4908447265625
1777907040,1251.60009765625
1777907100,1252.93994140625
1777907160,1257.31494140625
1777907220,1254.75
1777907280,1253.5999755859375
1777907340,1255.5799560546875
1777907400,1257.0400390625
1777907460,1253.1400146484375
1777907520,1253.5150146484375
1777907580,1249.719970703125
1777907640,1250.9000244140625
1777907700,1251.929931640625
1777907760,1252.4599609375
1777907820,1249.6982421875
